genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ifngr1,8.801533488566791e-61,-1.2804581232197938,0.148,0.316,1.274021972470043e-56
Rpl27a,2.453746699050383e-46,-0.18669375566419522,1,1,3.551798346875429e-42
Il16,1.3651397840517205e-45,-0.8352093899546575,0.262,0.421,1.9760398374148653e-41
Rps13,2.993971432964602e-45,-0.17166181427043314,1,1,4.333773649216261e-41
Stat1,3.767426369711984e-44,-0.7795647924887014,0.363,0.516,5.4533496701580965e-40
Rps11,7.361947074183333e-44,-0.19052059574675706,1,1,1.0656418389880374e-39
Rpl17,2.41076795994718e-43,-0.20258635202333597,0.999,1,3.489586622023543e-39
Rpl19,2.241053165930719e-42,-0.15288723888042988,1,1,3.243924457684716e-38
Fau,3.813628953577177e-42,-0.1456181909316996,1,1,5.520227910302963e-38
Rpl36,5.834170220323165e-41,-0.19212156601733943,1,1,8.444961393917782e-37
Rps20,1.4012116415272686e-39,-0.20673808536398486,1,1,2.0282538511107213e-35
Rps9,2.0873287452717882e-36,-0.16206187112352533,1,1,3.021408358780913e-32
Rps15a,2.93939607937889e-36,-0.15891722907615957,1,1,4.254775824900943e-32
Rpl26,4.497905610461566e-36,-0.19687957443875392,0.999,0.999,6.510718371143117e-32
Rps16,9.053458015648701e-36,-0.1600807193065128,1,1,1.3104880477651496e-31
B2m,1.697558815664693e-35,-0.22225678317898723,0.99,0.996,2.457216385674643e-31
Gm42031,2.7358867344900173e-34,2.8396079554410663,0.073,0.012,3.9601960481743e-30
Rpl37a,3.2614646666161543e-33,-0.15007676230772748,1,1,4.7209701049268836e-29
Rpl32,1.1483544472234892e-32,-0.1672722250100689,1,1,1.6622430623560006e-28
Rps10,1.720735906761071e-32,-0.15104387943795228,1,1,2.4907652250366505e-28
Rpl24,1.3980076500556187e-31,-0.18421206597553041,0.998,0.999,2.023616073455508e-27
Rpl39,2.947723006814964e-31,-0.14963071639362147,1,1,4.266829052364661e-27
Iigp1,3.142859934300241e-31,-1.4670065082369534,0.039,0.115,4.549289754899599e-27
Rps27,3.6202370921221323e-31,-0.15170030740104057,1,1,5.240293190846787e-27
Rps18,1.2871272573748272e-30,-0.18611886967730307,0.998,0.999,1.8631167050500623e-26
Rps23,3.844958716898789e-30,-0.153060221310938,1,1,5.565577742710998e-26
Rpl23,1.2203199799192762e-28,-0.1469742095793629,1,1,1.7664131709331524e-24
Rpl11,2.7506888011337284e-28,-0.1351216410338374,1,1,3.9816220396410715e-24
Zfand6,9.956410447144392e-28,-0.889415395233575,0.141,0.245,1.4411904122241507e-23
